"category_id","name","shortname"
"34","Tech","Tech"
"25","Parents & Family","Moms & Dads"
"10","Food & Drink","Food & Drink"
"23","Outdoors & Adventure","Outdoors"
"14","Health & Wellbeing","Well-being"
"2","Career & Business","Business"
"30","Singles","Singles"
"33","Support","Support"
"20","Movies & Film","Films"
"31","Socializing","Social"
"26","Pets & Animals","Pets"
"6","Education & Learning","Education"
"16","Language & Ethnic Identity","Languages"
"28","Religion & Beliefs","Beliefs"
"29","Sci-Fi & Fantasy","Sci fi"
"12","LGBT","LGBT"
"32","Sports & Recreation","Sports"
"22","New Age & Spirituality","Spirituality"
"13","Movements & Politics","Movements"
"21","Music","Music"
"17","Lifestyle","Lifestyle"
"9","Fitness","Fitness"
"4","Community & Environment","Community"
"8","Fashion & Beauty","Fashion"
"3","Cars & Motorcycles","Auto"
"35","Women","Women"
"27","Photography","Photography"
"11","Games","Games"
"15","Hobbies & Crafts","Crafts"
"18","Literature & Writing","Literature"
"5","Dancing","Dancing"
"24","Paranormal","Paranormal"
